id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.INR.price,quote.INR.volume_24h,quote.INR.volume_change_24h,quote.INR.percent_change_1h,quote.INR.percent_change_24h,quote.INR.percent_change_7d,quote.INR.percent_change_30d,quote.INR.percent_change_60d,quote.INR.percent_change_90d,quote.INR.market_cap,quote.INR.market_cap_dominance,quote.INR.fully_diluted_market_cap,quote.INR.tvl,quote.INR.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11793,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19775209.0,19775209.0,False,,1,,,,2024-10-30T09:45:00.000Z,6086820.286862069,4425316259527.147,10.3207,0.01821562,1.69823566,8.95571277,13.39763841,22.87280491,12.23958791,120368143318137.36,58.679,127823226024103.12,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
1027,Ethereum,ETH,ethereum,9468,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120406284.16331623,120406284.16331623,True,,2,,,,2024-10-30T09:45:00.000Z,225089.670161627,1780662912926.3315,-2.3541,0.40263999,2.05676503,3.86038608,2.03795959,6.46401565,-15.87665509,27102210787707.984,13.2094,27102210787708.195,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
825,Tether USDt,USDT,tether,101955,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,120504138281.46748,122337925861.4382,True,,3,,,,2024-10-30T09:45:00.000Z,84.05946714821103,6722413199555.904,1.7316,0.0082019,0.05225369,0.05543255,-0.01952773,-0.04693851,0.0265911,10129513653094.494,4.937,10283660859929.852,,2024-10-30T09:45:59.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-30 15:17:28.520713
1839,BNB,BNB,bnb,2273,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145930956.96229658,145930956.96229658,False,,4,,,,2024-10-30T09:45:00.000Z,50616.110705237574,152813514836.01666,1.8163,-0.28577541,-0.67845471,3.42818324,4.29041115,12.50721274,5.46049795,7386457472924.864,3.6001,7386457472924.676,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
5426,Solana,SOL,solana,775,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,470383825.344463,587539995.0246814,True,,5,,,,2024-10-30T09:45:00.000Z,14971.429746113765,280797991713.64056,-16.5697,-0.21888679,-1.56897018,7.51772866,14.36458012,30.53724557,5.47809452,7042318394852.875,3.4322,8796313758544.32,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
3408,USDC,USDC,usd-coin,22738,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34877594170.66209,34877594170.66209,False,,6,,,,2024-10-30T09:45:00.000Z,84.07384340482649,744544929960.0823,3.1954,0.00498472,-0.00817506,0.00995764,0.00424122,-0.03701274,-0.00939018,2932293390641.3335,1.4291,2932293390641.485,,2024-10-30T09:45:59.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-10-30 15:17:28.520713
52,XRP,XRP,xrp,1413,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56811862950.0,99987068281.0,False,,7,,,,2024-10-30T09:45:00.000Z,44.135449300934226,84768364015.48691,1.4685,0.19630971,0.31684688,-0.13070643,-18.73029481,-7.32741536,-13.43810745,2507417096921.348,1.222,4413544930093.575,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
74,Dogecoin,DOGE,dogecoin,1090,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146580566383.70514,146580566383.70514,True,,8,,,,2024-10-30T09:45:00.000Z,14.374659753783686,282975816304.8332,-11.1021,-1.05181858,3.94167433,24.58397531,40.81568255,69.84386824,41.23726926,2107045768282.664,1.0272,2107045768282.8086,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
1958,TRON,TRX,tron,1059,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86471673812.47273,86471742078.4682,True,,9,71659659264.0,12029853368.255648,,2024-10-30T09:45:00.000Z,14.114999435226744,37192113799.70515,43.4688,-0.0264334,2.28034182,4.94205449,8.08423309,6.91001447,29.91812852,1220547627026.164,0.5948,1220548590600.9866,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
11419,Toncoin,TON,toncoin,589,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2543835577.798374,5114150094.730156,True,,10,3414166606.0,17278783184.216995,,2024-10-30T09:45:00.000Z,425.52366224039525,18946378624.042034,37.5757,0.34040425,0.66453848,-2.02855941,-12.89236304,-4.99922911,-25.63706386,1082462231202.1761,0.5276,2176191877556.4683,,2024-10-30T09:45:59.000Z,,,,,,2024-10-30 15:17:28.520713
